z,rho,rho_a,rho_b,wa,wb,x,y,Na_z,Na_x,Na_y,Nb_z,Nb_x,Nb_y,U_z,U_x,U_y,U_ver_z,U_ver_x,U_ver_y,ja_z,ja_x,ja_y,jb_z,Na,Nb,U,U_ver,ja,jb,rho_a_analytical,rho_b_analytical,wa_analytical,wb_analytical,ja_analytical,jb_analytical,U_analytical,Na_analytical,Nb_analytical,U_ver_analytical,Nb_abs_error,Nb_rel_error,ja_abs_error,ja_rel_error,Na_abs_error,Na_rel_error,jb_abs_error,jb_rel_error,U_abs_error,U_rel_error,wa_abs_error,wa_rel_error,U_ver_abs_error,U_ver_rel_error,wb_abs_error,wb_rel_error
5.0500000000000000e-01,1.4961500000000001e+00,8.0440500000000004e-01,6.9174599999999997e-01,5.3764999999999996e-01,4.6235100000000001e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,2.0788199999999999e-05,0,0,-2.0788199999999999e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,2.0788199999999999e-05,-2.0788199999999999e-05,8.0441094150209258e-01,6.9173973037290737e-01,5.3765369800221519e-01,4.6234630199778481e-01,2.0788122313550023e-05,-2.0788122313550023e-05,5.8218433389664868e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,7.8028019961739028e-11,4.6553534129464021e-06,7.7686449975197065e-11,3.7370593200474152e-06,2.3204874260713930e-11,9.1102120778387033e-07,7.7686449975197065e-11,3.7370593200474152e-06,3.3389664866540283e-12,5.7352383407193136e-07,3.6980022152244274e-06,6.8780373481264760e-06,3.3389664858069954e-12,5.7352383392643927e-07,4.6980022151976719e-06,1.0161219403913433e-05
5.5500000000000005e-01,1.4961500000000001e+00,7.3671200000000003e-01,7.5943799999999995e-01,4.9240600000000001e-01,5.0759399999999999e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,2.1182299999999999e-05,0,0,-2.1182299999999999e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,2.1182299999999999e-05,-2.1182299999999999e-05,7.3671883838226693e-01,7.5943183349273302e-01,4.9240952280494527e-01,5.0759047719505479e-01,2.1182215133198814e-05,-2.1182215133198814e-05,5.8218433389664868e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,7.8028019961739028e-11,4.6553534129464021e-06,8.4866801184914050e-11,4.0065119084448677e-06,2.3204874260713930e-11,9.1102120778387033e-07,8.4866801184914050e-11,4.0065119084448677e-06,3.3389664866540283e-12,5.7352383407193136e-07,3.5228049452551424e-06,7.1542177437609233e-06,3.3389664858069954e-12,5.7352383392643927e-07,3.5228049451996313e-06,6.9402502676167471e-06
6.0499999999999998e-01,1.4961500000000001e+00,6.6773700000000002e-01,8.2841399999999998e-01,4.4630300000000001e-01,5.5369699999999999e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,2.1583899999999998e-05,0,0,-2.1583899999999998e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,2.1583899999999998e-05,-2.1583899999999998e-05,6.6774345573463867e-01,8.2840721614036128e-01,4.4630762682331443e-01,5.5369237317668552e-01,2.1583779005218571e-05,-2.1583779005218571e-05,5.8218433389664860e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,7.8028019961739028e-11,4.6553534129464021e-06,1.2099478142763454e-10,5.6058198053529166e-06,2.3204874260713930e-11,9.1102120778387033e-07,1.2099478142763454e-10,5.6058198053529166e-06,3.3389664858069954e-12,5.7352383392643927e-07,4.6268233144242110e-06,1.0366892780538400e-05,3.3389664858069954e-12,5.7352383392643927e-07,4.6268233144797222e-06,8.3563067483230934e-06
6.5500000000000003e-01,1.4961500000000001e+00,5.9745400000000004e-01,8.9869699999999997e-01,3.9932699999999999e-01,6.0067300000000001e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,2.1993100000000001e-05,0,0,-2.1993100000000001e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,2.1993100000000001e-05,-2.1993100000000001e-05,5.9746046566465827e-01,8.9869020621034168e-01,3.9933174973340835e-01,6.0066825026659165e-01,2.1992955562800137e-05,-2.1992955562800137e-05,5.8218433389664868e-06,2.5471276795125744e-05,-1.6760921971980039e-05,5.8218433389664885e-06,7.8028019961739028e-11,4.6553534129464021e-06,1.4443719986457224e-10,6.5674298702012509e-06,2.3204874257325798e-11,9.1102120765085249e-07,1.4443719986457224e-10,6.5674298702012509e-06,3.3389664866540283e-12,5.7352383407193136e-07,4.7497334083601572e-06,1.1894204283829570e-05,3.3389664883480942e-12,5.7352383436291556e-07,4.7497334083601572e-06,7.9074154597720106e-06
7.0499999999999996e-01,1.4961500000000001e+00,5.2583800000000003e-01,9.7031299999999998e-01,3.5146100000000002e-01,6.4853899999999998e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,2.2410000000000001e-05,0,0,-2.2410000000000001e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,2.2410000000000001e-05,-2.2410000000000001e-05,5.2584507907938649e-01,9.7030559279561346e-01,3.5146532295466543e-01,6.4853467704533463e-01,2.2409889124159106e-05,-2.2409889124159106e-05,5.8218433389664851e-06,2.5471276795125737e-05,-1.6760921971980039e-05,5.8218433389664843e-06,7.8028019961739028e-11,4.6553534129464021e-06,1.1087584089446308e-10,4.9476298313008138e-06,2.3204874264102062e-11,9.1102120791688818e-07,1.1087584089446308e-10,4.9476298313008138e-06,3.3389664849599624e-12,5.7352383378094706e-07,4.3229546654033335e-06,1.2299804228335323e-05,3.3389664841129295e-12,5.7352383363545497e-07,4.3229546653478224e-06,6.6657263186544587e-06
7.5500000000000000e-01,1.4961500000000001e+00,4.5286500000000002e-01,1.0432900000000001e+00,3.0268699999999998e-01,6.9731299999999996e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,2.2834800000000000e-05,0,0,-2.2834800000000000e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,2.2834800000000000e-05,-2.2834800000000000e-05,4.5287203694428024e-01,1.0432786349307197e+00,3.0269146380607093e-01,6.9730853619392907e-01,2.2834726743437502e-05,-2.2834726743437502e-05,5.8218433389664877e-06,2.5471276795125744e-05,-1.6760921971980043e-05,5.8218433389664860e-06,7.8028019958350896e-11,4.6553534127442569e-06,7.3256562498253981e-11,3.2081206888620457e-06,2.3204874257325798e-11,9.1102120765085249e-07,7.3256562498253981e-11,3.2081206888620457e-06,3.3389664875010613e-12,5.7352383421742346e-07,4.4638060709423222e-06,1.4747049734403668e-05,3.3389664858069954e-12,5.7352383392643927e-07,4.4638060708868110e-06,6.4014791719672519e-06
8.0500000000000005e-01,1.4961500000000001e+00,3.7850899999999998e-01,1.1176400000000000e+00,2.5298900000000002e-01,7.4701099999999998e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,2.3267700000000001e-05,0,0,-2.3267700000000001e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,2.3267700000000001e-05,-2.3267700000000001e-05,3.7851560137423057e-01,1.1176350705007694e+00,2.5299296955156847e-01,7.4700703044843153e-01,2.3267618262570286e-05,-2.3267618262570286e-05,5.8218433389664860e-06,2.5471276795125744e-05,-1.6760921971980043e-05,5.8218433389664860e-06,7.8028019958350896e-11,4.6553534127442569e-06,8.1737429714570263e-11,3.5129262169962565e-06,2.3204874257325798e-11,9.1102120765085249e-07,8.1737429714570263e-11,3.5129262169962565e-06,3.3389664858069954e-12,5.7352383392643927e-07,3.9695515684501359e-06,1.5690363157009856e-05,3.3389664858069954e-12,5.7352383392643927e-07,3.9695515684501359e-06,5.3139413775823281e-06
8.5499999999999998e-01,1.4961500000000001e+00,3.0274299999999998e-01,1.1934100000000001e+00,2.0234700000000000e-01,7.9765299999999995e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,2.3708799999999999e-05,0,0,-2.3708799999999999e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,2.3708799999999999e-05,-2.3708799999999999e-05,3.0274954655570507e-01,1.1934011253192949e+00,2.0235231133258424e-01,7.9764768866741576e-01,2.3708716364135286e-05,-2.3708716364135286e-05,5.8218433389664860e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,7.8028019961739028e-11,4.6553534129464021e-06,8.3635864713319484e-11,3.5276418976522685e-06,2.3204874260713930e-11,9.1102120778387033e-07,8.3635864713319484e-11,3.5276418976522685e-06,3.3389664858069954e-12,5.7352383392643927e-07,5.3113325842457648e-06,2.6247946214411475e-05,3.3389664858069954e-12,5.7352383392643927e-07,5.3113325841902537e-06,6.6587450319788853e-06
9.0500000000000003e-01,1.4961500000000001e+00,2.2553999999999999e-01,1.2706100000000000e+00,1.5074699999999999e-01,8.4925300000000004e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,2.4158299999999999e-05,0,0,-2.4158299999999999e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,2.4158299999999999e-05,-2.4158299999999999e-05,2.2554714949680221e-01,1.2706035223781977e+00,1.5075162798553096e-01,8.4924837201446901e-01,2.4158176625204908e-05,-2.4158176625204908e-05,5.8218433389664885e-06,2.5471276795125744e-05,-1.6760921971980039e-05,5.8218433389664885e-06,7.8028019961739028e-11,4.6553534129464021e-06,1.2337479509086260e-10,5.1069578593603101e-06,2.3204874257325798e-11,9.1102120765085249e-07,1.2337479509086260e-10,5.1069578593603101e-06,3.3389664883480942e-12,5.7352383436291556e-07,4.6279855309694362e-06,3.0699406651733986e-05,3.3389664883480942e-12,5.7352383436291556e-07,4.6279855310249474e-06,5.4495076864753162e-06
9.5499999999999996e-01,1.4961500000000001e+00,1.4687400000000000e-01,1.3492800000000000e+00,9.8167800000000000e-02,9.0183199999999997e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,2.4616300000000000e-05,0,0,-2.4616300000000000e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,2.4616300000000000e-05,-2.4616300000000000e-05,1.4688118060194011e-01,1.3492694912730598e+00,9.8172719742100747e-02,9.0182728025789927e-01,2.4616157572218805e-05,-2.4616157572218805e-05,5.8218433389664877e-06,2.5471276795125744e-05,-1.6760921971980039e-05,5.8218433389664885e-06,7.8028019961739028e-11,4.6553534129464021e-06,1.4242778119483916e-10,5.7859466893254286e-06,2.3204874257325798e-11,9.1102120765085249e-07,1.4242778119483916e-10,5.7859466893254286e-06,3.3389664875010613e-12,5.7352383421742346e-07,4.9197421007479702e-06,5.0113128307150860e-05,3.3389664883480942e-12,5.7352383436291556e-07,4.7197421007005858e-06,5.2335321896068929e-06
9.8499999999999999e-01,1.4961500000000001e+00,9.8959900000000003e-02,1.3971899999999999e+00,6.6143099999999996e-02,9.3385700000000005e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,2.4895199999999998e-05,0,0,-2.4895199999999998e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,2.4895199999999998e-05,-2.4895199999999998e-05,9.8967564295674215e-02,1.3971831075793257e+00,6.6148126760285766e-02,9.3385187323971419e-01,2.4895103140157237e-05,-2.4895103140157237e-05,5.8218433389664868e-06,2.5471276795125744e-05,-1.6760921971980043e-05,5.8218433389664860e-06,7.8028019958350896e-11,4.6553534127442569e-06,9.6859842761302722e-11,3.8907185210389309e-06,2.3204874257325798e-11,9.1102120765085249e-07,9.6859842761302722e-11,3.8907185210389309e-06,3.3389664866540283e-12,5.7352383407193136e-07,5.0267602857700933e-06,7.5992481297476185e-05,3.3389664858069954e-12,5.7352383392643927e-07,5.1267602858562356e-06,5.4899073747799153e-06
1.0000000000000000e+00,1.4961500000000001e+00,7.4807499999999999e-02,1.4213400000000000e+00,5.0000000000000003e-02,9.4999999999999996e-01,0,0,2.5471300000000001e-05,0,0,-1.6760900000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,2.5035700000000002e-05,0,0,-2.5035700000000002e-05,2.5471300000000001e-05,-1.6760900000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,2.5035700000000002e-05,-2.5035700000000002e-05,7.4807533593750003e-02,1.4213431382812500e+00,5.0000000000000003e-02,9.5000000000000007e-01,2.5035759053968460e-05,-2.5035759053968460e-05,5.8218433389664868e-06,2.5471276795125744e-05,-1.6760921971980043e-05,5.8218433389664860e-06,2.1971980041868375e-11,1.3109051380165568e-06,5.9053968458317547e-11,2.3587847275663918e-06,2.3204874257325798e-11,9.1102120765085249e-07,5.9053968458317547e-11,2.3587847275663918e-06,3.3389664866540283e-12,5.7352383407193136e-07,0.0000000000000000e+00,0.0000000000000000e+00,3.3389664858069954e-12,5.7352383392643927e-07,1.1102230246251565e-16,1.1686558153936714e-16
