z,rho,rho_a,rho_b,wa,wb,x,y,Na_z,Na_x,Na_y,Nb_z,Nb_x,Nb_y,U_z,U_x,U_y,U_ver_z,U_ver_x,U_ver_y,ja_z,ja_x,ja_y,jb_z,Na,Nb,U,U_ver,ja,jb,rho_a_analytical,rho_b_analytical,wa_analytical,wb_analytical,ja_analytical,jb_analytical,U_analytical,Na_analytical,Nb_analytical,U_ver_analytical,wb_abs_error,wb_rel_error,Na_abs_error,Na_rel_error,jb_abs_error,jb_rel_error,Nb_abs_error,Nb_rel_error,ja_abs_error,ja_rel_error,U_ver_abs_error,U_ver_rel_error,U_abs_error,U_rel_error,wa_abs_error,wa_rel_error
5.0500000000000000e-01,1.1839100000000000e+00,9.1518600000000006e-01,2.6872600000000002e-01,7.7301900000000001e-01,2.2698099999999999e-01,0,0,5.4973599999999998e-05,0,0,-5.4366399999999999e-19,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,1.2478000000000000e-05,0,0,-1.2478000000000000e-05,5.4973599999999998e-05,-5.4366399999999999e-19,4.6433900000000003e-05,4.6433900000000003e-05,1.2478000000000000e-05,-1.2478000000000000e-05,9.1518606991722606e-01,2.6872593008277401e-01,7.7301866179008749e-01,2.2698133820991256e-01,1.0539617465733578e-05,-1.0539617465733578e-05,3.9220693970571161e-05,4.6433850240086840e-05,3.3881317890172014e-21,3.9220693970571154e-05,3.3820991257593747e-07,1.4900340056223942e-06,8.5397497599131586e-06,1.8391215744217015e-01,1.9383825342664218e-06,1.8391391875981980e-01,5.4705213178901720e-19,5.4705212993553244e-07,1.9383825342664218e-06,1.8391391875981980e-01,7.2132060294288490e-06,1.8391326402658606e-01,7.2132060294288422e-06,1.8391326402658587e-01,3.3820991252042631e-07,4.3751843162077424e-07
5.5500000000000005e-01,1.1839100000000000e+00,8.7176399999999998e-01,3.1214799999999998e-01,7.3634200000000005e-01,2.6365800000000000e-01,0,0,5.4973599999999998e-05,0,0,-1.1601100000000000e-19,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,1.4494299999999999e-05,0,0,-1.4494299999999999e-05,5.4973599999999998e-05,-1.1601100000000000e-19,4.6433900000000003e-05,4.6433900000000003e-05,1.4494299999999999e-05,-1.4494299999999999e-05,8.7176362782112238e-01,3.1214837217887770e-01,7.3634157591199545e-01,2.6365842408800461e-01,1.2242675778639711e-05,-1.2242675778639711e-05,3.9220693970571167e-05,4.6433850240086853e-05,1.6940658945086007e-21,3.9220693970571167e-05,4.2408800460247420e-07,1.6084750793295818e-06,8.5397497599131451e-06,1.8391215744216979e-01,2.2516242213602883e-06,1.8391600644793527e-01,1.1770506589450860e-19,1.1770506569510846e-07,2.2516242213602883e-06,1.8391600644793527e-01,7.2132060294288354e-06,1.8391326402658564e-01,7.2132060294288354e-06,1.8391326402658564e-01,4.2408800460247420e-07,5.7593923591322993e-07
6.0499999999999998e-01,1.1839100000000000e+00,8.2132499999999997e-01,3.6258699999999999e-01,6.9373799999999997e-01,3.0626199999999998e-01,0,0,5.4973599999999998e-05,0,0,1.1987500000000001e-18,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,1.6836300000000000e-05,0,0,-1.6836300000000000e-05,5.4973599999999998e-05,1.1987500000000001e-18,4.6433900000000003e-05,4.6433900000000003e-05,1.6836300000000000e-05,-1.6836300000000000e-05,8.2132471181418809e-01,3.6258728818581198e-01,6.9373797361137313e-01,3.0626202638862682e-01,1.4220925067555024e-05,-1.4220925067555024e-05,3.9220693970571154e-05,4.6433850240086840e-05,-3.3881317890172014e-21,3.9220693970571154e-05,2.6388626839235485e-08,8.6163561151599812e-08,8.5397497599131586e-06,1.8391215744217015e-01,2.6153749324449757e-06,1.8391031076463729e-01,1.2021381317890173e-18,1.2021381277160150e-06,2.6153749324449757e-06,1.8391031076463729e-01,7.2132060294288490e-06,1.8391326402658606e-01,7.2132060294288490e-06,1.8391326402658606e-01,2.6388626839235485e-08,3.8038319715766576e-08
6.5500000000000003e-01,1.1839100000000000e+00,7.6273599999999997e-01,4.2117599999999999e-01,6.4424999999999999e-01,3.5575000000000001e-01,0,0,5.4973599999999998e-05,0,0,2.8211699999999999e-21,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,1.9556799999999999e-05,0,0,-1.9556799999999999e-05,5.4973599999999998e-05,2.8211699999999999e-21,4.6433900000000003e-05,4.6433900000000003e-05,1.9556799999999999e-05,-1.9556799999999999e-05,7.6273555548981675e-01,4.2117644451018332e-01,6.4425021073341326e-01,3.5574978926658679e-01,1.6518832437747148e-05,-1.6518832437747148e-05,3.9220693970571174e-05,4.6433850240086860e-05,3.3881317890172014e-21,3.9220693970571174e-05,2.1073341321953265e-07,5.9236412663346325e-07,8.5397497599131383e-06,1.8391215744216963e-01,3.0379675622528506e-06,1.8390932832525558e-01,5.6696178901720144e-22,5.6696178709626020e-10,3.0379675622528506e-06,1.8390932832525558e-01,7.2132060294288286e-06,1.8391326402658545e-01,7.2132060294288286e-06,1.8391326402658545e-01,2.1073341327504380e-07,3.2709871066214814e-07
7.0499999999999996e-01,1.1839100000000000e+00,6.9467999999999996e-01,4.8923200000000000e-01,5.8676600000000001e-01,4.1323399999999999e-01,0,0,5.4973599999999998e-05,0,0,-1.6786000000000001e-18,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,2.2717000000000000e-05,0,0,-2.2717000000000000e-05,5.4973599999999998e-05,-1.6786000000000001e-18,4.6433900000000003e-05,4.6433900000000003e-05,2.2717000000000000e-05,-2.2717000000000000e-05,6.9467919126641275e-01,4.8923280873358732e-01,5.8676590090007763e-01,4.1323409909992237e-01,1.9188050271703002e-05,-1.9188050271703002e-05,3.9220693970571161e-05,4.6433850240086846e-05,0.0000000000000000e+00,3.9220693970571161e-05,9.9099922379330962e-08,2.3981545229433797e-07,8.5397497599131518e-06,1.8391215744216996e-01,3.5289497282969970e-06,1.8391392009157329e-01,1.6786000000000001e-18,1.6786000000000001e-06,3.5289497282969970e-06,1.8391392009157329e-01,7.2132060294288422e-06,1.8391326402658587e-01,7.2132060294288422e-06,1.8391326402658587e-01,9.9099922379330962e-08,1.6889175432169182e-07
7.5500000000000000e-01,1.1839100000000000e+00,6.1562600000000001e-01,5.6828599999999996e-01,5.1999300000000004e-01,4.8000700000000002e-01,0,0,5.4973599999999998e-05,0,0,2.5996600000000000e-27,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,2.6387700000000001e-05,0,0,-2.6387700000000001e-05,5.4973599999999998e-05,2.5996600000000000e-27,4.6433900000000003e-05,4.6433900000000003e-05,2.6387700000000001e-05,-2.6387700000000001e-05,6.1562584757827354e-01,5.6828615242172653e-01,5.1999291127910985e-01,4.8000708872089015e-01,2.2288577271845893e-05,-2.2288577271845893e-05,3.9220693970571154e-05,4.6433850240086840e-05,-3.3881317890172014e-21,3.9220693970571154e-05,8.8720890134563746e-08,1.8483245814306605e-07,8.5397497599131586e-06,1.8391215744217015e-01,4.0991227281541089e-06,1.8391135935897576e-01,3.3881343886772017e-21,3.3881343771977561e-09,4.0991227281541089e-06,1.8391135935897576e-01,7.2132060294288490e-06,1.8391326402658606e-01,7.2132060294288490e-06,1.8391326402658606e-01,8.8720890190074897e-08,1.7061942242955446e-07
8.0500000000000005e-01,1.1839100000000000e+00,5.2379900000000001e-01,6.6011299999999995e-01,4.4243100000000002e-01,5.5756899999999998e-01,0,0,5.4973599999999998e-05,0,0,1.5446100000000002e-18,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,3.0651600000000003e-05,0,0,-3.0651600000000003e-05,5.4973599999999998e-05,1.5446100000000002e-18,4.6433900000000003e-05,4.6433900000000003e-05,3.0651600000000003e-05,-3.0651600000000003e-05,5.2379856265660962e-01,6.6011343734339045e-01,4.4243031801063726e-01,5.5756968198936274e-01,2.5890107111906920e-05,-2.5890107111906920e-05,3.9220693970571167e-05,4.6433850240086853e-05,0.0000000000000000e+00,3.9220693970571167e-05,6.8198936276075983e-07,1.2231464241855024e-06,8.5397497599131451e-06,1.8391215744216979e-01,4.7614928880930827e-06,1.8391166493056324e-01,1.5446100000000002e-18,1.5446100000000003e-06,4.7614928880930827e-06,1.8391166493056324e-01,7.2132060294288354e-06,1.8391326402658564e-01,7.2132060294288354e-06,1.8391326402658564e-01,6.8198936276075983e-07,1.5414616381303721e-06
8.5499999999999998e-01,1.1839100000000000e+00,4.1713400000000000e-01,7.6677799999999996e-01,3.5233500000000001e-01,6.4766500000000005e-01,0,0,5.4973599999999998e-05,0,0,-1.3356100000000002e-18,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,3.5604500000000001e-05,0,0,-3.5604500000000001e-05,5.4973599999999998e-05,-1.3356100000000002e-18,4.6433900000000003e-05,4.6433900000000003e-05,3.5604500000000001e-05,-3.5604500000000001e-05,4.1713324196696033e-01,7.6677875803303974e-01,3.5233466842718064e-01,6.4766533157281936e-01,3.0073595011948486e-05,-3.0073595011948486e-05,3.9220693970571161e-05,4.6433850240086853e-05,-3.3881317890172014e-21,3.9220693970571167e-05,3.3157281931206484e-07,5.1195085354707301e-07,8.5397497599131451e-06,1.8391215744216979e-01,5.5309049880515146e-06,1.8391232581078901e-01,1.3322218682109830e-18,1.3322218636972398e-06,5.5309049880515146e-06,1.8391232581078901e-01,7.2132060294288354e-06,1.8391326402658564e-01,7.2132060294288422e-06,1.8391326402658587e-01,3.3157281936757599e-07,9.4107349937141737e-07
9.0500000000000003e-01,1.1839100000000000e+00,2.9323199999999999e-01,8.9068000000000003e-01,2.4768100000000001e-01,7.5231899999999996e-01,0,0,5.4973599999999998e-05,0,0,4.5529400000000004e-18,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,4.1357699999999999e-05,0,0,-4.1357699999999999e-05,5.4973599999999998e-05,4.5529400000000004e-18,4.6433900000000003e-05,4.6433900000000003e-05,4.1357699999999999e-05,-4.1357699999999999e-05,2.9323226147372605e-01,8.9067973852627402e-01,2.4768079170894969e-01,7.5231920829105037e-01,3.4933077450527334e-05,-3.4933077450527334e-05,3.9220693970571161e-05,4.6433850240086846e-05,0.0000000000000000e+00,3.9220693970571161e-05,2.0829105040753859e-07,2.7686525627919367e-07,8.5397497599131518e-06,1.8391215744216996e-01,6.4246225494726645e-06,1.8391229271623730e-01,4.5529400000000004e-18,4.5529400000000003e-06,6.4246225494726645e-06,1.8391229271623730e-01,7.2132060294288422e-06,1.8391326402658587e-01,7.2132060294288422e-06,1.8391326402658587e-01,2.0829105032427186e-07,8.4096569978746764e-07
9.5499999999999996e-01,1.1839100000000000e+00,1.4931100000000000e-01,1.0346000000000000e+00,1.2611600000000001e-01,8.7388399999999999e-01,0,0,5.4973599999999998e-05,0,0,-1.3630300000000001e-17,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,4.8040600000000002e-05,0,0,-4.8040600000000002e-05,5.4973599999999998e-05,-1.3630300000000001e-17,4.6433900000000003e-05,4.6433900000000003e-05,4.8040600000000002e-05,-4.8040600000000002e-05,1.4931057382558199e-01,1.0346014261744181e+00,1.2611627707598366e-01,8.7388372292401628e-01,4.0577785917503319e-05,-4.0577785917503319e-05,3.9220693970571154e-05,4.6433850240086840e-05,0.0000000000000000e+00,3.9220693970571154e-05,2.7707598371229381e-07,3.1706275840094618e-07,8.5397497599131586e-06,1.8391215744217015e-01,7.4628140824966832e-06,1.8391377769489892e-01,1.3630300000000001e-17,1.3630300000000001e-05,7.4628140824966832e-06,1.8391377769489892e-01,7.2132060294288490e-06,1.8391326402658606e-01,7.2132060294288490e-06,1.8391326402658606e-01,2.7707598365678265e-07,2.1969882879404254e-06
9.8499999999999999e-01,1.1839100000000000e+00,5.2022800000000001e-02,1.1318900000000001e+00,4.3941399999999999e-02,9.5605799999999996e-01,0,0,5.4973599999999998e-05,0,0,1.1767999999999999e-17,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,5.2558000000000001e-05,0,0,-5.2558000000000001e-05,5.4973599999999998e-05,1.1767999999999999e-17,4.6433900000000003e-05,4.6433900000000003e-05,5.2558000000000001e-05,-5.2558000000000001e-05,5.2022652695700833e-02,1.1318893473042992e+00,4.3941317171969564e-02,9.5605868282803042e-01,4.4393485699171454e-05,-4.4393485699171454e-05,3.9220693970571154e-05,4.6433850240086846e-05,-6.7762635780344027e-21,3.9220693970571154e-05,6.8282803045160989e-07,7.1421142103022807e-07,8.5397497599131518e-06,1.8391215744216996e-01,8.1645143008285466e-06,1.8391243643813465e-01,1.1774776263578034e-17,1.1774776183789047e-05,8.1645143008285466e-06,1.8391243643813465e-01,7.2132060294288490e-06,1.8391326402658606e-01,7.2132060294288490e-06,1.8391326402658606e-01,8.2828030434356492e-08,1.8849692217535080e-06
1.0000000000000000e+00,1.1839100000000000e+00,0.0000000000000000e+00,1.1839100000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0,0,5.4973599999999998e-05,0,0,3.2803899999999998e-17,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,5.4973599999999998e-05,0,0,-5.4973599999999998e-05,5.4973599999999998e-05,3.2803899999999998e-17,4.6433900000000003e-05,4.6433900000000003e-05,5.4973599999999998e-05,-5.4973599999999998e-05,0.0000000000000000e+00,1.1839120000000001e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.6433850240086846e-05,-4.6433850240086846e-05,3.9220693970571161e-05,4.6433850240086846e-05,0.0000000000000000e+00,3.9220693970571161e-05,0.0000000000000000e+00,0.0000000000000000e+00,8.5397497599131518e-06,1.8391215744216996e-01,8.5397497599131518e-06,1.8391215744216996e-01,3.2803899999999998e-17,3.2803899999999999e-05,8.5397497599131518e-06,1.8391215744216996e-01,7.2132060294288422e-06,1.8391326402658587e-01,7.2132060294288422e-06,1.8391326402658587e-01,0.0000000000000000e+00,0.0000000000000000e+00
