z,rho,rho_a,rho_b,wa,wb,x,y,Na_z,Na_x,Na_y,Nb_z,Nb_x,Nb_y,U_z,U_x,U_y,U_ver_z,U_ver_x,U_ver_y,ja_z,ja_x,ja_y,jb_z,Na,Nb,U,U_ver,ja,jb,rho_a_analytical,rho_b_analytical,wa_analytical,wb_analytical,ja_analytical,jb_analytical,U_analytical,Na_analytical,Nb_analytical,U_ver_analytical,ja_abs_error,ja_rel_error,U_abs_error,U_rel_error,wb_abs_error,wb_rel_error,Nb_abs_error,Nb_rel_error,Na_abs_error,Na_rel_error,U_ver_abs_error,U_ver_rel_error,wa_abs_error,wa_rel_error,jb_abs_error,jb_rel_error
5.0500000000000000e-01,1.1839100000000000e+00,9.1534800000000005e-01,2.6856400000000002e-01,7.7315599999999995e-01,2.2684399999999999e-01,0,0,5.5000899999999997e-05,0,0,-1.4216299999999997e-20,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,1.2476700000000000e-05,0,0,-1.2476700000000000e-05,5.5000899999999997e-05,-1.4216299999999997e-20,4.6456899999999999e-05,4.6456899999999999e-05,1.2476700000000000e-05,-1.2476700000000000e-05,9.1518606991722606e-01,2.6872593008277401e-01,7.7301866179008749e-01,2.2698133820991256e-01,1.0539617465733578e-05,-1.0539617465733578e-05,3.9220693970571161e-05,4.6433850240086840e-05,3.3881317890172014e-21,3.9220693970571154e-05,1.9370825342664224e-06,1.8379057463647930e-01,7.2362060294288384e-06,1.8449968912734591e-01,1.3733820991257417e-04,6.0506388320329043e-04,1.7604431789017199e-20,1.7604431729371063e-08,8.5670497599131575e-06,1.8450009058299113e-01,7.2362060294288452e-06,1.8449968912734610e-01,1.3733820991246315e-04,1.7766480513452281e-04,1.9370825342664224e-06,1.8379057463647930e-01
5.5500000000000005e-01,1.1839100000000000e+00,8.7197599999999997e-01,3.1193599999999999e-01,7.3652099999999998e-01,2.6347900000000002e-01,0,0,5.5000899999999997e-05,0,0,-5.0529299999999996e-20,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,1.4491600000000000e-05,0,0,-1.4491600000000000e-05,5.5000899999999997e-05,-5.0529299999999996e-20,4.6456899999999999e-05,4.6456899999999999e-05,1.4491600000000000e-05,-1.4491600000000000e-05,8.7176362782112238e-01,3.1214837217887770e-01,7.3634157591199545e-01,2.6365842408800461e-01,1.2242675778639711e-05,-1.2242675778639711e-05,3.9220693970571167e-05,4.6433850240086853e-05,1.6940658945086007e-21,3.9220693970571167e-05,2.2489242213602891e-06,1.8369546644276988e-01,7.2362060294288316e-06,1.8449968912734568e-01,1.7942408800458720e-04,6.8051718288363147e-04,5.2223365894508596e-20,5.2223365806038774e-08,8.5670497599131439e-06,1.8450009058299077e-01,7.2362060294288316e-06,1.8449968912734568e-01,1.7942408800453169e-04,2.4366964174481445e-04,2.2489242213602891e-06,1.8369546644276988e-01
6.0499999999999998e-01,1.1839100000000000e+00,8.2153900000000002e-01,3.6237300000000000e-01,6.9391899999999995e-01,3.0608099999999999e-01,0,0,5.5000799999999997e-05,0,0,8.9791499999999990e-21,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,1.6834700000000000e-05,0,0,-1.6834700000000000e-05,5.5000799999999997e-05,8.9791499999999990e-21,4.6456899999999999e-05,4.6456899999999999e-05,1.6834700000000000e-05,-1.6834700000000000e-05,8.2132471181418809e-01,3.6258728818581198e-01,6.9373797361137313e-01,3.0626202638862682e-01,1.4220925067555024e-05,-1.4220925067555024e-05,3.9220693970571154e-05,4.6433850240086840e-05,-3.3881317890172014e-21,3.9220693970571154e-05,2.6137749324449756e-06,1.8379780051091685e-01,7.2362060294288452e-06,1.8449968912734610e-01,1.8102638862682596e-04,5.9108336335672270e-04,1.2367281789017200e-20,1.2367281747115220e-08,8.5669497599131573e-06,1.8449793698174269e-01,7.2362060294288452e-06,1.8449968912734610e-01,1.8102638862682596e-04,2.6094346210313503e-04,2.6137749324449756e-06,1.8379780051091685e-01
6.5500000000000003e-01,1.1839100000000000e+00,7.6297800000000005e-01,4.2093399999999997e-01,6.4445500000000000e-01,3.5554500000000000e-01,0,0,5.5000799999999997e-05,0,0,-9.6807499999999985e-20,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,1.9555299999999999e-05,0,0,-1.9555299999999999e-05,5.5000799999999997e-05,-9.6807499999999985e-20,4.6456899999999999e-05,4.6456899999999999e-05,1.9555299999999999e-05,-1.9555299999999999e-05,7.6273555548981675e-01,4.2117644451018332e-01,6.4425021073341326e-01,3.5574978926658679e-01,1.6518832437747148e-05,-1.6518832437747148e-05,3.9220693970571174e-05,4.6433850240086860e-05,3.3881317890172014e-21,3.9220693970571174e-05,3.0364675622528507e-06,1.8381852288153872e-01,7.2362060294288248e-06,1.8449968912734549e-01,2.0478926658679120e-04,5.7565534194246122e-04,1.0019563178901719e-19,1.0019563144954118e-07,8.5669497599131369e-06,1.8449793698174219e-01,7.2362060294288248e-06,1.8449968912734549e-01,2.0478926658673569e-04,3.1787225393886345e-04,3.0364675622528507e-06,1.8381852288153872e-01
7.0499999999999996e-01,1.1839100000000000e+00,6.9493300000000002e-01,4.8897900000000000e-01,5.8697999999999995e-01,4.1302000000000000e-01,0,0,5.5000799999999997e-05,0,0,-4.7656499999999998e-20,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,2.2716400000000002e-05,0,0,-2.2716400000000002e-05,5.5000799999999997e-05,-4.7656499999999998e-20,4.6456899999999999e-05,4.6456899999999999e-05,2.2716400000000002e-05,-2.2716400000000002e-05,6.9467919126641275e-01,4.8923280873358732e-01,5.8676590090007763e-01,4.1323409909992237e-01,1.9188050271703002e-05,-1.9188050271703002e-05,3.9220693970571161e-05,4.6433850240086846e-05,0.0000000000000000e+00,3.9220693970571161e-05,3.5283497282969991e-06,1.8388265063166295e-01,7.2362060294288384e-06,1.8449968912734591e-01,2.1409909992237131e-04,5.1810608172991749e-04,4.7656499999999998e-20,4.7656500000000001e-08,8.5669497599131505e-06,1.8449793698174252e-01,7.2362060294288384e-06,1.8449968912734591e-01,2.1409909992231579e-04,3.6487992842380694e-04,3.5283497282969991e-06,1.8388265063166295e-01
7.5500000000000000e-01,1.1839100000000000e+00,6.1590500000000004e-01,5.6800700000000004e-01,5.2022900000000005e-01,4.7977100000000000e-01,0,0,5.5000799999999997e-05,0,0,2.1455400000000002e-24,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,2.6387799999999998e-05,0,0,-2.6387799999999998e-05,5.5000799999999997e-05,2.1455400000000002e-24,4.6456899999999999e-05,4.6456899999999999e-05,2.6387799999999998e-05,-2.6387799999999998e-05,6.1562584757827354e-01,5.6828615242172653e-01,5.1999291127910985e-01,4.8000708872089015e-01,2.2288577271845893e-05,-2.2288577271845893e-05,3.9220693970571154e-05,4.6433850240086840e-05,-3.3881317890172014e-21,3.9220693970571154e-05,4.0992227281541057e-06,1.8391584596187960e-01,7.2362060294288452e-06,1.8449968912734610e-01,2.3608872089014854e-04,4.9184423821485536e-04,3.3902773290172011e-21,3.3902773175304949e-09,8.5669497599131573e-06,1.8449793698174269e-01,7.2362060294288452e-06,1.8449968912734610e-01,2.3608872089020405e-04,4.5402296025344804e-04,4.0992227281541057e-06,1.8391584596187960e-01
8.0500000000000005e-01,1.1839100000000000e+00,5.2408699999999997e-01,6.5982499999999999e-01,4.4267299999999998e-01,5.5732700000000002e-01,0,0,5.5000799999999997e-05,0,0,9.0007000000000004e-20,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,3.0653500000000001e-05,0,0,-3.0653500000000001e-05,5.5000799999999997e-05,9.0007000000000004e-20,4.6456899999999999e-05,4.6456899999999999e-05,3.0653500000000001e-05,-3.0653500000000001e-05,5.2379856265660962e-01,6.6011343734339045e-01,4.4243031801063726e-01,5.5756968198936274e-01,2.5890107111906920e-05,-2.5890107111906920e-05,3.9220693970571167e-05,4.6433850240086853e-05,0.0000000000000000e+00,3.9220693970571167e-05,4.7633928880930801e-06,1.8398505203237775e-01,7.2362060294288316e-06,1.8449968912734568e-01,2.4268198936272523e-04,4.3524961489373063e-04,9.0007000000000004e-20,9.0007000000000007e-08,8.5669497599131437e-06,1.8449793698174236e-01,7.2362060294288316e-06,1.8449968912734568e-01,2.4268198936272523e-04,5.4852025162602431e-04,4.7633928880930801e-06,1.8398505203237775e-01
8.5499999999999998e-01,1.1839100000000000e+00,4.1736299999999998e-01,7.6654900000000004e-01,3.5252899999999998e-01,6.4747100000000002e-01,0,0,5.5000799999999997e-05,0,0,1.0391200000000000e-19,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,3.5611400000000003e-05,0,0,-3.5611400000000003e-05,5.5000799999999997e-05,1.0391200000000000e-19,4.6456899999999999e-05,4.6456899999999999e-05,3.5611400000000003e-05,-3.5611400000000003e-05,4.1713324196696033e-01,7.6677875803303974e-01,3.5233466842718064e-01,6.4766533157281936e-01,3.0073595011948486e-05,-3.0073595011948486e-05,3.9220693970571161e-05,4.6433850240086853e-05,-3.3881317890172014e-21,3.9220693970571167e-05,5.5378049880515162e-06,1.8414176295549428e-01,7.2362060294288384e-06,1.8449968912734591e-01,1.9433157281933955e-04,3.0004936708147718e-04,1.0730013178901720e-19,1.0730013142547022e-07,8.5669497599131437e-06,1.8449793698174236e-01,7.2362060294288316e-06,1.8449968912734568e-01,1.9433157281933955e-04,5.5155393503081231e-04,5.5378049880515162e-06,1.8414176295549428e-01
9.0500000000000003e-01,1.1839100000000000e+00,2.9342900000000000e-01,8.9048300000000002e-01,2.4784800000000001e-01,7.5215200000000004e-01,0,0,5.5000799999999997e-05,0,0,-1.0456800000000000e-19,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,4.1369000000000003e-05,0,0,-4.1369000000000003e-05,5.5000799999999997e-05,-1.0456800000000000e-19,4.6456899999999999e-05,4.6456899999999999e-05,4.1369000000000003e-05,-4.1369000000000003e-05,2.9323226147372605e-01,8.9067973852627402e-01,2.4768079170894969e-01,7.5231920829105037e-01,3.4933077450527334e-05,-3.4933077450527334e-05,3.9220693970571161e-05,4.6433850240086846e-05,0.0000000000000000e+00,3.9220693970571161e-05,6.4359225494726690e-06,1.8423576835884370e-01,7.2362060294288384e-06,1.8449968912734591e-01,1.6720829105032475e-04,2.2225710736527478e-04,1.0456800000000000e-19,1.0456800000000000e-07,8.5669497599131505e-06,1.8449793698174252e-01,7.2362060294288384e-06,1.8449968912734591e-01,1.6720829105032475e-04,6.7509591638473330e-04,6.4359225494726690e-06,1.8423576835884370e-01
9.5499999999999996e-01,1.1839100000000000e+00,1.4944399999999999e-01,1.0344700000000000e+00,1.2622900000000001e-01,8.7377099999999996e-01,0,0,5.5000799999999997e-05,0,0,-6.2643699999999989e-20,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,4.8058200000000000e-05,0,0,-4.8058200000000000e-05,5.5000799999999997e-05,-6.2643699999999989e-20,4.6456899999999999e-05,4.6456899999999999e-05,4.8058200000000000e-05,-4.8058200000000000e-05,1.4931057382558199e-01,1.0346014261744181e+00,1.2611627707598366e-01,8.7388372292401628e-01,4.0577785917503319e-05,-4.0577785917503319e-05,3.9220693970571154e-05,4.6433850240086840e-05,0.0000000000000000e+00,3.9220693970571154e-05,7.4804140824966811e-06,1.8434751253696360e-01,7.2362060294288452e-06,1.8449968912734610e-01,1.1272292401631745e-04,1.2899075822011809e-04,6.2643699999999989e-20,6.2643699999999985e-08,8.5669497599131573e-06,1.8449793698174269e-01,7.2362060294288452e-06,1.8449968912734610e-01,1.1272292401634521e-04,8.9380155067166371e-04,7.4804140824966811e-06,1.8434751253696360e-01
9.8499999999999999e-01,1.1839100000000000e+00,5.2093800000000003e-02,1.1318200000000000e+00,4.4001400000000003e-02,9.5599800000000001e-01,0,0,5.5000799999999997e-05,0,0,-9.0176299999999990e-20,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,5.2580700000000003e-05,0,0,-5.2580700000000003e-05,5.5000799999999997e-05,-9.0176299999999990e-20,4.6456899999999999e-05,4.6456899999999999e-05,5.2580700000000003e-05,-5.2580700000000003e-05,5.2022652695700833e-02,1.1318893473042992e+00,4.3941317171969564e-02,9.5605868282803042e-01,4.4393485699171454e-05,-4.4393485699171454e-05,3.9220693970571154e-05,4.6433850240086846e-05,-6.7762635780344027e-21,3.9220693970571154e-05,8.1872143008285489e-06,1.8442377271036367e-01,7.2362060294288452e-06,1.8449968912734610e-01,6.0682828030400593e-05,6.3471865399346357e-05,8.3400036421965587e-20,8.3400035856824966e-08,8.5669497599131505e-06,1.8449793698174252e-01,7.2362060294288452e-06,1.8449968912734610e-01,6.0082828030438851e-05,1.3673424443316122e-03,8.1872143008285489e-06,1.8442377271036367e-01
1.0000000000000000e+00,1.1839100000000000e+00,0.0000000000000000e+00,1.1839100000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0,0,5.5000799999999997e-05,0,0,1.2129500000000002e-18,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,5.5000799999999997e-05,0,0,-5.5000799999999997e-05,5.5000799999999997e-05,1.2129500000000002e-18,4.6456899999999999e-05,4.6456899999999999e-05,5.5000799999999997e-05,-5.5000799999999997e-05,0.0000000000000000e+00,1.1839120000000001e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.6433850240086846e-05,-4.6433850240086846e-05,3.9220693970571161e-05,4.6433850240086846e-05,0.0000000000000000e+00,3.9220693970571161e-05,8.5669497599131505e-06,1.8449793698174252e-01,7.2362060294288384e-06,1.8449968912734591e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2129500000000002e-18,1.2129500000000002e-06,8.5669497599131505e-06,1.8449793698174252e-01,7.2362060294288384e-06,1.8449968912734591e-01,0.0000000000000000e+00,0.0000000000000000e+00,8.5669497599131505e-06,1.8449793698174252e-01
